id,project_id,file_name,file_type,status
315,72,Schritt II.II - quantitative Analyse metaphorischer Ausdrücke.zip,zip,SUCCEEDED
316,72,Schritt II.I - quantitative Analyse metaphorischer Quellbereiche.zip,zip,SUCCEEDED
317,72,Schritt I - Sozialwissenschaftliche Metaphernanalyse.zip,zip,SUCCEEDED
318,72,Stichwortkatalog zur Korpuserstellung.docx,docx,SUCCEEDED
319,73,00ReadMe_understanding_dispersion.txt,txt,SUCCEEDED
320,73,2023-12-08_dispersion_survey_all_articles.tsv,tsv,SUCCEEDED
321,73,2023-12-09_dispersion_survey.tsv,tsv,SUCCEEDED
322,73,brown_dtm.tsv,tsv,SUCCEEDED
323,73,brown_tdm.tsv,tsv,SUCCEEDED
324,73,script_brown_data_retrieval.qmd,qmd,SUCCEEDED
325,74,00_ReadMe_barcharts_corp_ling.txt,txt,SUCCEEDED
326,74,barcharts_corp_ling.tsv,tsv,SUCCEEDED
327,74,survey_graphs_tables.tsv,tsv,SUCCEEDED
328,75,00_ReadMe_ordinal_response_scales.txt,txt,SUCCEEDED
329,75,data_perception_quantifiers.tsv,tsv,SUCCEEDED
330,75,data_protection_impact_assessment.pdf,pdf,SUCCEEDED
331,75,literature_results_agreement.tsv,tsv,SUCCEEDED
332,75,literature_results_frequency.tsv,tsv,SUCCEEDED
333,75,literature_results_intensity.tsv,tsv,SUCCEEDED
334,75,literature_results_probability.tsv,tsv,SUCCEEDED
335,75,literature_results_quality.tsv,tsv,SUCCEEDED
336,75,literature_results_quantifiers.tsv,tsv,SUCCEEDED
337,75,quantifier_perception_task.png,png,SUCCEEDED
338,75,results_mosteller_youtz_1990.tsv,tsv,SUCCEEDED
339,75,survey_rating_scales.tsv,tsv,SUCCEEDED
340,80,Corporation.docx,docx,SUCCEEDED
341,80,MSMEs.docx,docx,SUCCEEDED
342,81,Codebook - STEPP interviews 4.14.20 - 12-26-2022.pdf,pdf,SUCCEEDED
343,81,NVivo file paradox theory 12.26.22.nvp,nvp,SUCCEEDED
344,343,COMENTARIOS_TIKTOK.qdpx,qdpx,SUCCEEDED
345,343,readme-es_tiktok.txt,txt,SUCCEEDED
346,83,COMUNICANCER_GRUPOS DISCUSIÓN.qdpx,qdpx,SUCCEEDED
347,83,readme-es_GD.txt,txt,SUCCEEDED
348,84,Avides_Leerkes_Atltas Codes.ods,ods,SUCCEEDED
349,84,Avides_Leerkes_Informed Consent Form.odt,odt,SUCCEEDED
350,84,Avides_Leerkes_Interview_Guide.odt,odt,SUCCEEDED
351,84,README.pdf,pdf,SUCCEEDED
